Order,PID,Sqft,Alley,Utilities,Locality,FamilyAccom,HouseStyle,BHK,Baths,Fireplaces,GarageCars,PoolArea,SaleCondition,SalePrice
1,526301100,31770,NA,AllPub,NAmes,1Fam,1Story,1,1,2,2,NA,Normal,215000
2,526350040,11622,NA,AllPub,NAmes,1Fam,1Story,1,1,0,1,NA,Normal,105000
3,526351010,14267,NA,AllPub,NAmes,1Fam,1Story,1,1,0,1,NA,Normal,172000
4,526353030,11160,NA,AllPub,NAmes,1Fam,1Story,2,2,2,2,NA,Normal,244000
5,527105010,13830,NA,AllPub,Gilbert,1Fam,2Story,2,2,1,2,NA,Normal,189900
6,527105030,9978,NA,AllPub,Gilbert,1Fam,2Story,2,2,1,2,NA,Normal,195500
7,527127150,4920,NA,AllPub,StoneBr,1Fam,1Story,2,2,0,2,NA,Normal,213500
8,527145080,5005,NA,AllPub,StoneBr,1Fam,1Story,2,2,0,2,NA,Normal,191500
9,527146030,5389,NA,AllPub,StoneBr,1Fam,1Story,2,2,1,2,NA,Normal,236500
10,527162130,7500,NA,AllPub,Gilbert,1Fam,2Story,2,2,1,2,NA,Normal,189000
11,527163010,10000,NA,AllPub,Gilbert,1Fam,2Story,2,2,1,2,NA,Normal,175900
12,527165230,7980,NA,AllPub,Gilbert,1Fam,1Story,2,2,0,2,NA,Normal,185000
13,527166040,8402,NA,AllPub,Gilbert,1Fam,2Story,1,2,1,2,NA,Normal,180400
14,527180040,10176,NA,AllPub,Gilbert,1Fam,1Story,1,1,1,2,NA,Normal,171500
15,527182190,6820,NA,AllPub,StoneBr,1Fam,1Story,1,1,0,2,NA,Normal,212000
16,527216070,53504,NA,AllPub,StoneBr,1Fam,2Story,4,3,1,3,NA,Normal,538000
17,527225035,12134,NA,AllPub,Gilbert,1Fam,1.5Story,3,2,0,2,NA,Normal,164000
18,527258010,11394,NA,AllPub,StoneBr,1Fam,1Story,2,1,1,3,NA,Partial,394432
19,527276150,19138,NA,AllPub,Gilbert,1Fam,1Story,2,1,0,2,NA,Normal,141000
20,527302110,13175,NA,AllPub,NWAmes,1Fam,1Story,3,2,2,2,NA,Normal,210000
21,527358140,11751,NA,AllPub,NWAmes,1Fam,1Story,3,2,1,2,NA,Normal,190000
22,527358200,10625,NA,AllPub,NWAmes,1Fam,1.5Story,3,2,2,2,NA,Family,170000
23,527368020,7500,NA,AllPub,Somerst,1Fam,2Story,4,2,0,2,NA,Normal,216000
24,527402200,11241,NA,AllPub,NAmes,1Fam,1Story,4,1,1,2,NA,Normal,149000
25,527402250,12537,NA,AllPub,NAmes,1Fam,1Story,2,1,1,2,NA,Normal,149900
26,527403020,8450,NA,AllPub,NAmes,1Fam,1Story,2,1,1,1,NA,Normal,142000
27,527404120,8400,NA,AllPub,NAmes,1Fam,1Story,2,1,0,2,NA,Normal,126000
28,527425090,10500,NA,AllPub,NAmes,1Fam,1Story,2,1,1,0,NA,Normal,115000
29,527427230,5858,NA,AllPub,NAmes,1Fam,1Story,2,2,1,2,NA,Normal,184000
30,527451180,1680,NA,AllPub,BrDale,1Fam,2Story,2,1,0,1,NA,Normal,96000
31,527451330,1680,NA,AllPub,BrDale,1Fam,2Story,2,1,0,1,NA,Normal,105500
32,527451410,1680,NA,AllPub,BrDale,1Fam,2Story,2,1,0,1,NA,Family,88000
33,527452190,4043,NA,AllPub,NPkVill,1Fam,1Story,3,2,1,2,NA,Normal,127500
34,527453130,2280,NA,AllPub,NPkVill,1Fam,2Story,3,2,1,2,NA,Normal,149900
35,527453150,2280,NA,AllPub,NPkVill,1Fam,1Story,1,1,0,1,NA,Normal,120000
36,527454200,2280,NA,AllPub,NPkVill,1Fam,2Story,2,2,1,2,NA,Normal,146000
37,528108120,12858,NA,AllPub,NridgHt,1Fam,2Story,2,2,1,3,NA,Partial,376162
38,528112020,11478,NA,AllPub,NridgHt,1Fam,1Story,2,2,1,3,NA,Normal,306000
39,528120060,10159,NA,AllPub,NridgHt,1Fam,1Story,3,2,1,3,NA,Partial,395192
40,528120090,12883,NA,AllPub,NridgHt,1Fam,1Story,,2,0,3,NA,Partial,290941
41,528120100,12182,NA,AllPub,NridgHt,1Fam,1Story,,2,1,2,NA,Partial,220000
42,528120120,11520,NA,AllPub,NridgHt,1Fam,1Story,,2,1,3,NA,Normal,275000
43,528138020,14122,NA,AllPub,NridgHt,1Fam,1Story,,2,1,3,NA,Normal,259000
44,528138060,10171,NA,AllPub,NridgHt,1Fam,1Story,,2,0,2,NA,Normal,214000
45,528150070,12919,NA,AllPub,NridgHt,1Fam,1Story,,2,2,3,NA,Partial,611657
46,528175010,6371,NA,AllPub,NridgHt,1Fam,1Story,,2,1,2,NA,Partial,224000
47,528176010,14300,NA,AllPub,NridgHt,1Fam,1Story,,2,2,3,NA,Normal,500000
48,528176070,13650,NA,AllPub,NridgHt,1Fam,2Story,,2,1,3,NA,Normal,320000
49,528180070,7658,NA,AllPub,NridgHt,1Fam,1Story,,2,1,2,NA,Normal,319900
50,528181050,7132,NA,AllPub,NridgHt,1Fam,1Story,,2,1,2,NA,Normal,205000
51,528188120,2628,NA,AllPub,NridgHt,1Fam,2Story,,2,0,2,NA,Normal,175500
52,528218150,18494,NA,AllPub,Gilbert,1Fam,1Story,,2,0,2,NA,Normal,199500
53,528228285,3203,NA,AllPub,Blmngtn,1Fam,1Story,,2,0,2,NA,Normal,160000
54,528228440,3182,NA,AllPub,Blmngtn,1Fam,1Story,,2,1,2,NA,Normal,192000
55,528231020,13300,NA,AllPub,Gilbert,1Fam,1Story,,2,1,2,NA,Normal,184500
56,528240070,7851,NA,AllPub,Gilbert,1Fam,2Story,,2,2,2,NA,Normal,216500
57,528240130,8577,NA,AllPub,Gilbert,1Fam,2Story,,2,1,2,NA,Normal,185088
58,528250100,7750,NA,AllPub,Gilbert,1Fam,1Story,,2,1,2,NA,Normal,180000
59,528292020,9505,NA,AllPub,Gilbert,1Fam,2Story,,2,1,2,NA,Normal,222500
60,528328100,14774,NA,AllPub,NoRidge,1Fam,2Story,,2,1,3,NA,Normal,333168
61,528344070,17433,NA,AllPub,NoRidge,1Fam,2Story,2,2,1,3,NA,Normal,355000
62,528358010,10593,NA,AllPub,NoRidge,1Fam,1Story,2,2,1,2,NA,Normal,260400
63,528363130,12256,NA,AllPub,NoRidge,1Fam,2Story,2,2,2,2,NA,Normal,325000
64,528382020,11764,NA,AllPub,NoRidge,1Fam,2Story,2,2,1,3,NA,Normal,290000
65,528382030,16770,NA,AllPub,NoRidge,1Fam,2Story,2,2,0,2,NA,Normal,221000
66,528386040,14720,NA,AllPub,NoRidge,1Fam,1.5Story,2,2,1,3,NA,Normal,410000
67,528445060,8987,NA,AllPub,Somerst,1Fam,1Story,2,2,1,3,NA,Normal,221500
68,528456160,9215,NA,AllPub,Somerst,1Fam,1Story,2,2,0,2,NA,Partial,204500
69,528458070,8640,NA,AllPub,Somerst,1Fam,2Story,2,2,0,2,NA,Normal,215200
70,528458110,9000,NA,AllPub,Somerst,1Fam,1Story,2,2,0,2,NA,Normal,262500
71,528477080,12552,NA,AllPub,Somerst,1Fam,2Story,2,2,1,2,NA,Normal,254900
72,528480090,10440,NA,AllPub,Somerst,1Fam,1Story,2,2,1,2,NA,Normal,271500
73,531367050,10142,NA,AllPub,SawyerW,1Fam,2Story,2,2,0,2,NA,Normal,233000
74,531369060,11920,NA,AllPub,SawyerW,1Fam,2Story,3,2,0,2,NA,Normal,181000
75,531380080,8880,NA,AllPub,SawyerW,1Fam,2Story,3,2,2,2,NA,Normal,205000
76,531451110,8012,NA,AllPub,SawyerW,1Fam,1Story,3,2,1,1,NA,Normal,143000
77,531451280,11218,NA,AllPub,SawyerW,1Fam,2Story,3,2,1,2,NA,Normal,189000
78,531452020,7892,NA,AllPub,SawyerW,1Fam,1Story,3,2,1,1,NA,Normal,99500
79,531452050,7175,NA,AllPub,SawyerW,1Fam,1Story,1,1,0,1,NA,Normal,125000
80,531452180,9453,NA,AllPub,SawyerW,1Fam,2Story,3,2,0,2,NA,Normal,194500
81,531453010,9672,NA,AllPub,SawyerW,1Fam,1Story,2,2,0,2,NA,Normal,152000
82,531453040,8400,NA,AllPub,SawyerW,1Fam,2Story,2,2,1,2,NA,Normal,171000
83,531477050,9800,NA,AllPub,SawyerW,1Fam,1Story,2,1,0,1,NA,Normal,67500
84,532351140,,NA,AllPub,Sawyer,2Fam,1.5Story,2,2,0,2,NA,Normal,112000
85,532354090,,NA,AllPub,Sawyer,1Fam,2Story,2,1,0,2,NA,Normal,148000
86,532376160,,NA,AllPub,Sawyer,1Fam,1Story,2,1,1,1,NA,Normal,138500
87,532377060,,NA,AllPub,Sawyer,1Fam,1Story,2,1,0,1,NA,Normal,122000
88,532377100,,NA,AllPub,Sawyer,1Fam,1Story,1,1,0,1,NA,Normal,133000
89,532378110,,NA,AllPub,Sawyer,1Fam,1Story,1,1,0,1,NA,Normal,127000
90,532479070,15410,NA,AllPub,Sawyer,1Fam,1Story,1,2,2,2,NA,Abnormal,169000
91,533130020,10186,NA,AllPub,NoRidge,1Fam,2Story,1,2,1,2,NA,Normal,190000
92,533130130,13143,NA,AllPub,NoRidge,1Fam,2Story,2,2,1,3,NA,Normal,362500
93,533130160,11134,NA,AllPub,NoRidge,1Fam,2Story,2,2,1,3,NA,Normal,285000
94,533205060,4835,NA,AllPub,Somerst,1Fam,1Story,2,2,1,2,NA,Normal,260000
95,533208090,3515,Pave,AllPub,Somerst,1Fam,2Story,2,2,0,2,NA,Normal,190000
96,533210060,3215,Pave,AllPub,Somerst,1Fam,2Story,2,2,0,2,NA,Normal,155000
97,533212010,3182,Pave,AllPub,Somerst,1Fam,2Story,2,2,0,2,NA,Normal,151000
98,533212020,2544,Pave,AllPub,Somerst,2Fam,2Story,2,2,0,2,NA,Normal,149500
99,532351140,8930,NA,AllPub,Sawyer,2Fam,1.5Story,2,2,0,2,NA,Normal,112000
100,532354090,11782,NA,AllPub,Sawyer,1Fam,2Story,2,1,0,2,NA,Normal,148000